First Name,Last Name,ORCID,Statement of contribution,Statement of contribution (putative CRediT model),credit_cleanup
Inês C,Laranjeira,0000-0003-2961-6709,"I.C.L. contributed to the collection of behavioral data on both preliminary and finalized IBL task protocols, including training mice; rig maintenance; management of experiment schedules and stock mice; and communication and discussion of issues and successes regarding the rig, training and mice welfare, in the behavior WG meetings. 
Contributed to the design of pilot experiments, such as a shaping protocol and an experiment to test the effect of different water restriction regimens on weight maintenance, thirst and task performance. Contributed to the analysis of behavioral data and metadata. Some examples include general performance tracking, the analysis of task disengagement, the effect of sucrose water on trial counts, the effect of citric acid water over weekends on task performance and trial counts, and correlations of learning speed and factors such as mouse weight, gender, genotype and source, as well as food nutrients content, or cage enrichment.","I.C.L: [Methodology] piloted candidate tasks and shaping protocols (lead), designed the final behavioral task (supporting); standardized training and surgery protocols (equal); [Investigation] collected behavioral data, maintained rigs, performed surgeries and animal husbandry (equal); [Project administration] participated in Behavior Working Group meetings (equal)","I.C.L: [Methodology] piloted candidate tasks and shaping protocols (lead), designed the final behavioral task (supporting); standardized training and surgery protocols (equal); [Investigation] collected behavioral data, maintained rigs, performed surgeries and animal husbandry (equal); [Project administration] participated in Behavior Working Group meetings (equal)"
Zachary,Mainen,,Z.F.M. hosted the research,Z.F.M: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).,Z.F.M: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).
Guido T,Meijer,0000-0002-7473-0482,"G.T.M. developed the code for the lab membership classifier, curated the Github repository and actively participated in the writing of the manuscript. Performed the data analysis and created Figures: Figure 2c,d; Figure 3c-j; Figure 4e; Suppl. Figure 2, 3 and 4. Contributed to the design and standardization of the training rig hardware, wrote a large part of the build instruction guides, and designed the 3D model of the training rig. Helped pilot several task candidates and finalize the training paradigm and the standardization thereof. G.T.M. built and maintained three training rigs, performed implantation surgeries and supervised behavioral training at the CCU. ","G.T.M: [Formal Analysis] developed the code for the lab membership classifier, curated the Github repository, and did the data analysis and layout of the following figures: Figure 2c,d; Figure 3c-j; Figure 4e; Suppl. Figure 2, 3 and 4 (lead); [Investigation] built and maintained rigs, performed  surgeries, supervised behavioral data collection; [Methodology] piloted cadidate tasks and standardized the final training protocol (equal); designed the training rig (lead), created the 3D model in Figure 1b and wrote build instruction guides (lead); implemented standardization across laboratories (equal);  [Project administration] attended behavioral working group meetings (equal); [Writing - original draft] wrote the manuscript (equal).","G.T.M: [Formal Analysis] developed the code for the lab membership classifier, curated the Github repository, and did the data analysis and layout of the following figures: Figure 2c,d; Figure 3c-j; Figure 4e; Suppl. Figure 2, 3 and 4 (lead); [Investigation] built and maintained rigs, performed  surgeries, supervised behavioral data collection; [Methodology] piloted cadidate tasks and standardized the final training protocol (equal); designed the training rig (lead), created the 3D model and wrote build instruction guides (lead); implemented standardization across laboratories (equal);  [Project administration] attended behavioral working group meetings (equal); [Writing - original draft] wrote the manuscript (equal)."
Nathaniel,Miska,0000-0001-8587-4919,"N.J.M. contributed data that was used in all figures, which involved regular surgery and behavioral training on animals.  N.J.M. helped build and maintain a subset of behavioral training rigs.  N.J.M. was a regular/major contributor to Behavior WG (including helping shape protocols, policies, techniques, methods, etc). N.J.M. provided cursory contributions/suggestions for writing paper.","N.J.M. [Investigation]  collected behavioral data, performed surgeries and animal husbandry; built and maintained rigs (equal). [Project Administration] attended Behavior Working Group meetings (equal). [Writing - review and editing] provided contributions/suggestions for writing paper (supporting).","N.J.M. [Investigation]  collected behavioral data, performed surgeries and animal husbandry; built and maintained rigs (equal). [Project Administration] attended Behavior Working Group meetings (equal). [Writing - review and editing] provided contributions/suggestions for writing paper (supporting)."
Tom,Mrsic-Flogel,,T.M.F. hosted the research,T.M.F: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).,T.M.F: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).
Masayoshi,Murakami,0000-0001-5511-1144,"M.M. built the first rig at CCU. Contributed to initial pilot behavioral experiments through supervising a technician, suggesting a new rig component, and analyzing behavioral data. Participated in the initial rig-building and behavior working group meetings. ",M.M [Methodology] Developed rig components (supporting) [Investigation] Supervised data collection and performed data analysis in pilot behavioral experiments (supporting); built a rig (supporting). [Proj  Admin] Attended Behavior Working Group meetings (supporting).,M.M [Methodology] Developed rig components (supporting) [Investigation] Supervised data collection and performed data analysis in pilot behavioral experiments (supporting); built a rig (supporting). [Project Administration] Attended Behavior Working Group meetings (supporting).
Jean-Paul,Noel,0000-0001-5297-3363,"J.P.N. contributed to collaboration-wide standarization of licenses and protocols (suppl. table 1), locally built behavioral rigs, and did all the early surgeries and behavioral training at one of the experimental sites (NYU, all figures). J.P.N. contributed to discussion regarding training automation (suppl. table 2 & 3) and did some preliminary analyses (ultimately leading to figure 3g-j, final version by others). J.P.N. wrote a first complete draft of the abstract, introduction, results, discussion, and methods, which were then edited and re-written by a large number of authors.","J.P.N: [Methodology] Standardized licenses and protocols (suppl. table 1; equal), developed training automation (suppl. table 2 & 3, equal). [Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal), supervised behavioral data collection (equal),  [Project administration] attended Behavioral Working Group meetings (equal). [Formal Analyses] did some preliminary analyses, leading to Figures 3g-j (supporting). [Writing - original draft] wrote abstract, introduction, results, discussion and methods for version 2 (lead). [Writing - review and editing] edited sections of version 3 (equal).","J.P.N: [Methodology] Standardized licenses and protocols (equal), developed training automation (equal). [Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal), supervised behavioral data collection (equal),  [Project administration] attended Behavioral Working Group meetings (equal). [Formal Analysis] did some preliminary analyses, leading to Figures 3g-j (supporting). [Writing - original draft] wrote abstract, introduction, results, discussion and methods for version 2 (lead). [Writing - review and editing] edited sections of version 3 (equal)."
Alex,Pan,https://orcid.org/0000-0001-5899-0471,"APV built equipment, performed surgeries and trained mice from Princeton, contributed to standardization and surgery guidelines.  APV Tested, debugged and discussed issues that contributed to the final version of the training pipeline and software. APV Developed code for statistical analysis of Figure 2-3, wrote general functions and prepared supplementary tables. APV Contributed to the writing of the results and discussion, and edited the introduction.","A.P.V: [Investigation] Built and maintained rigs, collected behavioral data and performed surgeries, supervised training of animals and animal surgeries (equal). [Methodology] Reviewed standarization of licenses and protocols (equal). wrote parts of the surgery guides and edited building guides (suppl. table 1; supporting).  [Project administration] attended Behavioral Working Group meetings (equal). [Formal Analyses] Wrote code for early version of Figure 2 and statistical analyses (Figure 2-3, Supp. Table 5-6). Wrote some general functions used across figures. (equal). [Visualization] Generated preliminary figures. [Writing - original draft] Wrote sections of the discussion for version 1 (lead), wrote sections of the results for V1 (equal). [Writing - review and editing] edited sections of the results (equal).","A.P.V: [Investigation] Built and maintained rigs, collected behavioral data and performed surgeries, supervised training of animals and animal surgeries (equal). [Methodology] Reviewed standarization of licenses and protocols (equal). wrote parts of the surgery guides and edited building guides (supporting).  [Project administration] attended Behavioral Working Group meetings (equal). [Formal Analysis] Wrote code for early version of Figure 2 and statistical analyses (supporting). Wrote some general functions used across figures. (equal). [Visualization] Generated preliminary figures. [Writing - original draft] Wrote sections of the discussion for version 1 (lead), wrote sections of the results for V1 (equal). [Writing - review and editing] edited sections of the results (equal)."
Josh,Sanders,,"J.S. contributed to design and validation of rig components, and provided rig kits to IBL member labs.",J.I.S. [Methodology] design and delivery of rig components (equal). ,J.I.S. [Methodology] design and delivery of rig components (equal). 
Karolina Z,Socha,https://orcid.org/0000-0002-1677-1489,"K.Z.S. built, maintained the training rigs, performed surgeries, behavioral trainings, and collected data in Lab1; performed additional measurements to finalize the rig setup, tested, debugged, and reported issues that contributed to the final software version; contributed to finalizing the behavioral training pipeline, to writing and editing surgical protocols; gave comments on figures and text of the manuscript.","K.Z.S. [Investigation] Built and maintained rigs, performed surgeries, collected behavioral data, supervised behavioral data collection (equal). [Methodology] Finalized the behavioral training pipeline, wrote and edited surgical protocols,(equal) Finalized rig design and tested software (supporting). [Project Administration] attended behavioral working group meetings (equal); . [Writing – review & editing] Gave comments on main body text and figures (supporting).","K.Z.S. [Investigation] Built and maintained rigs, performed surgeries, collected behavioral data, supervised behavioral data collection (equal). [Methodology] Finalized the behavioral training pipeline, wrote and edited surgical protocols,(equal) Finalized rig design and tested software (supporting). [Project Administration] attended behavioral working group meetings (equal); . [Writing – review and editing] Gave comments on main body text and figures (supporting)."
Rebecca,Terry,,R.T. trained mice in Lab1 (September 2019-current),R.T. [Investigation] collected behavioral data (supporting),R.T. [Investigation] collected behavioral data (supporting)
Anne,Urai,https://orcid.org/0000-0001-5270-6513,"A.E.U prototyped and tested the initial Matlab rig and contributed to the development of additional rig features and parts (with JS); piloted different candidate tasks and finalized the training pipeline, task design and training criteria; designed and wrote the code for the prototype ‘behavior snapshots’ now shown on the DataJoint website; built and maintained rigs at CSHL; performed and oversaw surgeries, animal husbandry and mouse training at CSHL; contributed analyses and figure creation for each figure of the manuscript; and edited the paper.","A.E.U. [Methodology] prototyped and tested the initial Matlab rig and developed additional rig features and parts and the final Python rig (supporting); piloted candidate tasks and finalized the training pipeline and task design (equal); defined and implemented training progression criteria (lead); [Investigation] built and maintained rigs; performed and supervised surgeries and animal husbandry, collected behavioral data (equal); [Project Administration] attended Behavioral Working Group meetings (equal); [Visualization] designed and wrote the code for online ‘behavior snapshots’ (lead); [Formal Analysis] analyzed data and prepared figures for figure 1 (equal), figure 2 (equal), figure 3 (supporting) and figure 4 (lead) for the manuscript; curated the computational resources and reproducibility of analyses (equal); [Writing – review & editing] edited parts of the main manuscript (supporting).
","A.E.U. [Methodology] prototyped and tested the initial Matlab rig and developed additional rig features and parts and the final Python rig (supporting); piloted candidate tasks and finalized the training pipeline and task design (equal); defined and implemented training progression criteria (lead); [Investigation] built and maintained rigs; performed and supervised surgeries and animal husbandry, collected behavioral data (equal); [Project Administration] attended Behavioral Working Group meetings (equal); [Visualization] designed and wrote the code for online ‘behavior snapshots’ (lead); [Formal Analysis] analyzed data and prepared figures for figure 1 (equal), figure 2 (equal), figure 3 (supporting) and figure 4 (lead) for the manuscript; curated the computational resources and reproducibility of analyses (equal); [Writing – review and editing] edited parts of the main manuscript (supporting).
"
Hernando Martinez,Vergara,https://orcid.org/0000-0001-6904-2311,"H.M.V. set-up behavioural training rigs, performed surgeries, and was involved in several behavioural meetings and the design of rig components, as well as set-up logistics for Lab 6",H.M.V. [Investigation] built behavioural rigs and performed surgeries at SWC (supporting). [Project Administration] attended weekly behavioural group meetings (supporting). [Methodology] contributed to design of components list (supporting).,H.M.V. [Investigation] built behavioural rigs and performed surgeries at SWC (supporting). [Project Administration] attended weekly behavioural group meetings (supporting). [Methodology] contributed to design of components list (supporting).
Miles,Wells,,"M.J.W. contributed to all stages of task design and development; contributed to much of the preliminary task and prototype analysis code; to the animal training efforts; writing behaviour user guides; writing the methods, introduction and appendix 2, as well as editing; analysis for the paper and some supplementary figures.","M.J.W. [Investigation] performed surgeries and collected behavioral data for preliminary dataset (supporting); [Methodology] piloted behavioral task (lead) and standardized the training protocol (equal); [Project Administration] attended Behavior Working Group meetings (equal); [Visualization] designed and wrote the code for first prototype behavior plots (lead).  [Formal Analysis] analyzed data and prepared supplementary figures (equal).  [Writing – review & editing] edited parts of the main manuscript (supporting), [Writing - original draft] wrote parts of methods, introduction and appendix 2 (equal);  ","M.J.W. [Investigation] performed surgeries and collected behavioral data for preliminary dataset (supporting); [Methodology] piloted behavioral task (lead) and standardized the training protocol (equal); [Project Administration] attended Behavior Working Group meetings (equal); [Visualization] designed and wrote the code for first prototype behavior plots (lead).  [Formal Analysis] analyzed data and prepared supplementary figures (equal).  [Writing – review and editing] edited parts of the main manuscript (supporting), [Writing - original draft] wrote parts of methods, introduction and appendix 2 (equal);  "
Christian J.,Wilson,,C.J.W. performed the sugeries and behavioral training at NYU in the mid and late parts of data collection.,C.J.W: [Investigation] performed the surgeries and collected behavioral data (equal),C.J.W: [Investigation] performed the surgeries and collected behavioral data (equal)
Ilana,Witten,,I.B.W. hosted the research,I.B.W: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).,I.B.W: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).
Lauren E.,Wool,https://orcid.org/0000-0002-2955-2576,L.E.W. led the design and implementation of all components for the first prototype rig; designed some components for the final Python rig; wrote initial sections of Appendix 1 and made some figures for Appendix 3; co-designed task structure and training criteria (Supp Tables 2-3); attended rig-building/behavioral working group meetings; wrote parts of the introduction and discussion for the paper; and edited the paper.,L.E.W.: [Methodology] designed the prototype behavioral rig (lead) and the final rig (supporting); piloted behavioral task (lead); defined trial structure and training criteria for the behavioral task (equal); wrote sections of build and surgery guides (supporting) [Project Administration] attended behavioral working group meetings (equal); [Writing - original draft] wrote sections of the introduction and discussion for version 1 of the paper (equal); [Writing - review/editing] edited version 2 of the paper (lead) and version 3 of the paper (supporting). [Funding acquisition] edited grant applications (supporting).,L.E.W.: [Methodology] designed the prototype behavioral rig (lead) and the final rig (supporting); piloted behavioral task (lead); defined trial structure and training criteria for the behavioral task (equal); wrote sections of build and surgery guides (supporting) [Project Administration] attended behavioral working group meetings (equal); [Writing - original draft] wrote sections of the introduction and discussion for version 1 of the paper (equal); [Writing - review and editing] edited version 2 of the paper (lead) and version 3 of the paper (supporting). [Funding acquisition] edited grant applications (supporting).
Anthony,Zador,,A.Z. hosted the research,"A.Z.: [Funding Acquisition]  acquired funding (equal). [Resources] Hosted the research (equal). [Supervision] headed the Behavior Working Group (lead), supervised local laboratory research (equal). ","A.Z.: [Funding Acquisition]  acquired funding (equal). [Resources] Hosted the research (equal). [Supervision] headed the Behavior Working Group (lead), supervised local laboratory research (equal). "
